"","mission.corp6"
"465437851 2017"," provide funding  beautify charles park howard beach ny"
"465438200 2017","fundraising  educational scholarships"
"465442758 2016","operation song's mission   empower veterans  active duty military  tell  stores   process  songwriting  creative  therapeutic settings"
"465445364 2016"," provide instruction   sport  skiing  youth ages 6  18  provide opportunities  participants  engage  recreational competitive  skiing  host   participate  events  activities  promote  sport  skiing  ski racing"
"465452232 2017"," organization supports local non-profits  enhance  lives  people  intellectual  developmental disabilities"
"465472077 2016"," promote christian values  minister  youth"
"465472077 2014"," promote christian values  minister  youth"
"465479917 2017","religious educational  charitable supports"
"465489340 2014"," bring  forms  renewable energy   mainstream  america's economy  lifestyle  information  education  promote  renewable energy options   production  electricity hydrogen fuels  end-use energy"
"465493989 2017"," help  affected  poverty improve  circumstances  become self-sufficient  operate  homeless shelter  overnight occupancy  11 1  4 30  year  community works together  meet  needs   living  poverty  offers  structured opportunity  gain self-sufficiency     hope   better future"
"465501157 2015","northern new mexicans protecting land water  rights strives  lessen  stress  neighborhood tensions due  lack  information  fair representation  providing  organization whose main goal   unite  empower  community  prejudice  discrimination within community members community deterioration can  stopped  repaired  achieve  goals  mission  accomplished  addressing issues  organization   best   ability coordinates  resources needed  address community issues  legal political  community outreach programs educating  community members  organization provides information   community members  educate   various issues related  land  water rights coordinate  organization coordinates members  provide  significant voice   heard  various issues related  land  water rights  organization fights  protect  rights  individual property owners  resid"
"465510049 2016","identifying  providing meaningful experiences  mentoring  girls    risk"
"465519311 2016"," inspire  educate designers students  admirers  graphic design letters typography  calligraphy"
"465542678 2017","purpose  mission   provide benevolent services   gulf coast population  promote healthy lifestyles empower families  enrich communities"
"465580136 2015"," primary purpose   organization   educate  provide resources  promote strategies  help individuals maximize food resrouces  make healthy food choices  support  promote good health"
"465628341 2017","see sch o"
"465629799 2016","snac   non-profit organization dedicated  decrease  number  homeless indigent  hungry children  florence school district one  providing aid  families  household bills  hotel restaurant vouchers  emergency situations"
"465633984 2014"," provide  rescue shelter  animals    abandoned abused neglected   unwanted   provide  neutering  adoptions  animals    placed   rescue shelter"
"465637704 2017","go pantry strives  make  positive impact  local kids  providing food     hungry specifically go pantry helps hungry school-age children  boone county     enough  eat  days   away  school"
"465638865 2017"," provide meaningful instructions  horsemanship  accommodate  enhance  quality  life   challenged  physical cognitive emotional   social constraints"
"465649514 2015","behavioral health clinic commited  providing medical clinical management  children adolescents adults  famalies living   district  columbia   may function   full potential"
"465654255 2017"," foster coordinate  catalyze initiatives  improve  business climate  quality  life  east new orleans  business development infrastructure improvement  image enhacement  order  grow good jobs investments  tax revenue   city  new orleans"
"465673059 2016","charitable activities"
"465681949 2016","provide educational services  community public  focus   russian language  literature"
"465687279 2017","religious ministry  community support"
"465689396 2017"," mission   serve  nation's veterans  growing  donating high-quality fruits vegetables  flower bouquets  veterans   caregivers free  charge"
"465696734 2017"," provide training mentoring financial support  volunteer teams"
"465709080 2016"," organization supports  catholic church  producing  broadcasting religious programming via various media platforms"
"465736231 2015"," support  enhance  advancement  cheering activities"
"465748280 2017"," mission  stone's throw christian ministry inc   glorify god  providing  assistance  individuals churches mission teams   agencies  gather  strive  provide  resources needed  assist    hurting  ministry uses crises  meet  spiritual needs  others   important goal   share  love  jesus along  way   helping  slay  giants  arise  life"
"470972336 2015","organized  promote awareness  worth  charities  causes  organizing events   benefit"
"470989142 2017","connects men  risk  comprehensive healthcare  wellness  education collaboration  advocacy mhf's vision   world  inequity  stigma   separate men  healthcare"
"470989142 2015","connects men  risk  comprehensive healthcare  wellness  education partnerships  collaboration inspiring  empowering  men  live longer healthier  happier lives"
"470995163 2016","teching dance clasess   risk inner city children"
"470995163 2017","teaching dance clasess   risk inner city children"
"470995163 2015","teaching dance classes  inner city kids  jackson  keep  engaged    trouble"
"470996261 2017","brothers sisters llcs primary mission   offer training co-ordinate food  clothing drives offer home remodelling provide aid  charity     need  locally  globally  partnering   already established recognized charities  humanitarian aid internationally"
"470999974 2017"," help needy sick disabled members   israeli-jewish community   financial crisis"
"471038347 2017"," mission   wyoming housing partnership inc whp   create  maintain affordable housing   support successful homeownership  wyoming's workforce"
"471038412 2015"," organization provides  variety  programs  increase child  parent caregiver community-based early learning programs  children 0  5   families  three programs  families learning  play flip help  grow playgroups  summer camp"
"471038949 2015"," dedicated   process  restoring"
"471040362 2015"," provide scholarships camperships  grants  lupis patients   children"
"471052067 2016","strengthening children   families  partnering  foster parents   community  promote stability strengthen connections  encourage lifelong bonds"
"471067268 2017"," primary purpose   organization   operate  christian school  provides  distinctive christian educational environment  graduates students  demonstrate godly character    prepared   proficient  academics  life skills"
"471067342 2017","treating shelter animals    risk   euthanized due  medical"
"471067342 2015","treating shelter animals   "
"471075307 2017","none"
"471079587 2016","teaching christian doctrine"
"471087192 2015"," create  evidence-based consumer  family driven recovery-oriented behavioral health system care  center  excellence  individuals confronted  mental health   substance abuse issues"
"471087192 2016"," create  evidence-based consumer  family driven recovery-oriented behavioral health system care  center  excellence  individuals confronted  mental health   substance abuse issues"
"471097704 2015","   light  families enduring  storm  cancer  building faith fostering hope  loving deeply"
"471101236 2016","established  promote  arts  helping visual artists  grant-making  individual artists  specific projects workshops  webinars  topics relevant   arts  artists  serving   clearinghouse  community interactions  mentorship"
"471101372 2017","   educational purposes   public library   city  brentwood  will include  raising  funds toward  replacement   library building  ongoing supporrt   programs   library"
"471119980 2016"," provide opportunities  children  youth  participate  recreational cultural social  civic activities  membership  clubs   youth groups   special focus whose purpose   help youngsters develop  potential  grow  healthy educated responsible  productive adults"
"471133312 2015"," bee foundation  dedicated "
"471133312 2016"," bee foundation  dedicated  raising awareness  brain aneurysms  funding  innovative research  saves lives"
"471144036 2016"," provide low cost therapy  edcuation  victims  perpetrators  child abuse domestic violence sexual abuse    abusive situation  organization also provides edcuation   community  regards  abuse   exploitation    forms"
"471147165 2016","parenting choices  beaver county"
"471164218 2016","promote leadership skill development  youth sports   activities events"
"471169798 2016","tender hearts mission   support medically fragile children  order  create  better quality  life  vision   support local hospital organizations  programs  wupport medically fragile children statewide additionally tender hearts  unique programs  medically fragile children   families  offer support  assistance  program disbursements  made  qualifying section 501_c_3 organizations whose mission statement dovetails  tender hearts mission"
"471170250 2017","youth  people development organization"
"471178640 2016","please see schedule o"
"471185266 2017","genesis sports provides youth amateur sports training  leagues   specific focus   sport  basketball"
"471185266 2016","genesis sports provides youth amateur sports training  leagues   specific focus   sport  basketball"
"471185878 2015","membership-based organization providing  community resource  tools knowledge  environment  empower members  collaboratively learn create  share"
"471196131 2015","provide support  youth baseball   las vegas area  nevada including providing opportunities   participating youth  experience sportmanship discipline service physical fitness  joint efforts   support  sustaining  baseball"
"471196286 2015","friends  sean foundation   501_c_3 non-profit organization designed  help alleviate  stress  financial burden families suffer   unexpected death   recent graduate  current student"
"471204202 2017","promote  raise community awareness  water safety  sponsoring"
"471210683 2017"," provide riding lessons  therapy  disadvantaged youth"
"471210683 2015"," provide riding lessons"
"471222317 2017"," foundation arranges  provides classes designed  promote  education   islamic faith  includes teaching  quran educating individuals   contents teaching   arabic language  providing  community needs"
"471223195 2016"," promote  structured holistic approach  displaced veterans suffering  ptsd   invisible disabilities aiding  reintegration  family society  economy"
"471234110 2015"," serve homeless  hungry  west michigan  haiti"
"471239601 2015"," river city church  pittsburg's mission statement   aid  local community  service  encouragement  teach  minister kingdon principles  persons   ages  give   time  prayers  monetary contributions  needful individals  organizations"
"471239847 2017","reuniting missing animals   owners"
"471255941 2015","organization provides educational opportunities   production   promotion   arts including opera   community"
"471265161 2017","promote youth sports   rochester minnesota area maintain field  use  youth   area support football  mayo high school"
"471272301 2016","provide special needs opportunities"
"471272301 2017","provide opportunities  improve  quality  life  special needs young adults"
"471276876 2017","debre tsion kidist mariam  kidus gabriel ethiopian orthodox tewahedo  established  maintain religious worship  prayer according   teaching  ethiopian orthodox tewahido church  abides   ecclesiastical laws  regulations   ethiopian orthodox church regarding faith  worship"
"471281873 2017"," primary exempt purpose   organization   help homeless  disadvantaged veterans  providing   daily life essentials  well  communicate     various programs  agencies    place  help  adapt  succeed   transition  life  service"
"471286122 2017","provide food  clothing  low income people  se portland"
"471306523 2016"," teach  game  baseball   concept  sportsmanship  youths   las vegas metropolitan area"
"471308073 2016"," make chemo care packages "
"471308073 2017"," make chemotherapy care packages "
"471311797 2015"," create  maintain  quality welcoming education k-12 campus  nigeria  curricula relevant   goals  aspirations   student irrespective  faith creed tribe ethnicity  social status"
"471352422 2016","promote safe boating techniques sportsmanship water safety  boat maintenance providing coaching training  instruction"
"471352422 2015"," promote safe boating techniques sportsmanship water safety  boat maintenance  providing coaching training  instruction  fundamental safe sailing skills  youth families  adults  foster appreciation  local boating history  respect   natural beauty  ecological value  chautauqua lake   foster  facilitate recreational  competitive sailing   general public  chautauqua lake  chautauqua county ny"
"471353027 2016"," mission  zachary athletic foundation   lead zachary community schools  building  preeminent athletic program   state enriching  lives  student-athletes    classroom    highest levels  athletic competition"
"471355354 2016","elder law wellness initiative elwi  committed  increasing  senior citizens access   understanding   legal  social support system elwi's objective   work  seniors   caregivers  nurture  promote  social health  wellness   seniors  ensuring   legal rights  ably represented  protected"
"471362379 2015","provide foster homes veterinary care  adoption services  animals  need  homes"
"471374830 2017","render financial assistance  operate  group home  adults  young handicapped adults  developedmental problems"
"471384280 2017"," provide  place  care  rest    christian ministry participants  given lodging  meals  brief stays  normally 3  5 days"
"471395843 2017"," exist  feed kids  receive free-and-reduced lunches   breaks  school"
"471399206 2016"," provide development social  educational opportunities"
"471399206 2017"," provide development social"
"471404469 2015"," provide distribution assistance relief resources  supplies  individuals  like-minded organizations  response  poverty disaster   need"
"471417788 2016"," foster promote  advance  understanding  development   sport  lacrosse   community  within  similar lacrosse organizations   promote goodwill sportsmanship  good welfare among  members"
"471421039 2017"," organization dedicated  support traumatic brain injury survivors caregivers  families"
"471435826 2017"," provide  oversee  construction maintenance  beautification  public parks  owned properties   benefit   residents  cisco texas"
"471440797 2016"," raise awareness  resources  improvement   health education  overall livelihood   native americans living  pine ridge reservation located  south dakota"
"471450282 2015"," teach  word  god   whole world  mission work  christian schools"
"471450282 2017"," teach  word  god   whole world  mission work  christian schools"
"471465185 2016","provide veterans  need  computers  offer job skills training  information technology  help veterans rejoin  workforce  boost  economy  keeping usable technology    landfill"
"471468601 2016"," organization   operated  educate  public  support  scientific community    platform  exploration   global food system provoking fresh perspectives   realities    feed cities inspiring  fostering action will raise awareness   opportunities  improvement   food systems  uncover  insights  will shape   make  world sustainable"
"471476786 2017","provide emergency ambulance service   best emergency medical assistance  persons  need   emergency services   corresponding area  will provide  manpower  operate  ambulance   provide emergency medical assistance      called"
"471489275 2017","transforming lives bringing  tangible love  christ   destitute lost broken  forgotten  tanzania  ministry exists  bring  kingdom  god  earth   application   gospel  manifested  food  water   poor healing   sick education  family   orphan   living hope  christ proclaimed   lost"
"471498683 2015"," specific purposes    corporation  organized   foster international exchange  arts  culture via traveling exhibitions  events   curate art exhibitions   public shere  nationally  internationally"
"471499849 2016","see schedule o"
"471499849 2015"," mission   organization   educate encourage  inspire  community   development  art  providing  dynamic  supportive venue  exhibits programs  bring artists together  workshops  instruction  foster  creative process"
"471501942 2016","raise awareness  support  domestic  overseas ministry"
"471502467 2015"," raise breast cancer awareness  education enpowering  giving hope  everyone touched  breast cancer"
"471508583 2016","pious projects fosters charitable giving  numerous causes  focus  improving  aspects  life  people  communities  need"
"471518052 2015","   spots mission   provide help  people  need due  financial catastrophic    hardship  providing clothing  household items"
"471518284 2016"," promote interest  model railroading   hobby along  missisippi gulf coast"
"471519094 2017","providing spayed  nuetering services   local community  little   cost"
"471525927 2016","offering community exercise  sportmanship opportunities"
"471525927 2014","offering community exercise  sportmanship opertunities"
"471533074 2016"," educate parents  individuals  disabilities   rights  help  transition  adulthood"
"471533329 2016","cultivate young adults possessing strong work ethic relationship skills  moral foundation  mentoring job training leadership  organized fellowship"
"471544356 2016"," provide financial   assistance  current  former denton high school students faculty  staff   families  times  medical   crises"
"471544386 2016"," tailwind track club   youth track  field  cross country club based  westchester county ny  athletes ages 6-18 years  age aiming  provide  venue  young people  experience  joy   healthy lifestyle develop lasting friendships  challenge   achieve    personal goals"
"471546411 2016","rebound inc  dedicated  leading  way   innovation  provision  holistic community centered education advocacy  rehabilitation solutions   overrepresentation  black youth   juvenile justice system rebound inc  dedicated  leading  way   innovation  provision  holistic community centered education advocacy  rehabilitation solutions   overrepresentation  black youth   juvenile justice system"
"471546411 2015","reduce   representation  african american males   juvenile justice system"
"471551236 2017","texas youth education  shooting sports exists  develop grow  support outdoor youth shooting events   teach youth   families  safe firearm handling  hands  events shooting sports wildlife habitat  conservation programs"
"471551373 2014","organization   charitable organization  provides eye exams  eyeglasses  local school district children  need  supports local charities  well  lions club charities eye bank leader dog texas lions camp lions club international etc"
"471553809 2017","queen's best stumpy dog rescue specializes  rescuing  adopting  special needs corgis  california's high kill shelters   needing   rehomed"
"471555052 2016"," operate competitive race events  benefit  community"
"471555495 2015","enterprising reporting  disseminating news stories  public interest items  print electronic    means"
"471557153 2017","public screeningand eduction   film study  highly sensitive persons"
"471559298 2016"," educate audiences  exposure  orchestral  choral works  various periods  styles   provide musicians  opportunity  perform   professional production"
"471566544 2015"," purpose    corporation  organized   help good people  great things  children  need"
"471568301 2017"," engage  support foster promote  encourage youth work  activities related thereto"
"471572898 2016","refuge coffee co exists  serve "
"471575856 2016","foster education  development  children's interest  participating   sport  cheer-leading  dance"
"471582151 2016"," cultural organization "
"471583475 2015","rise urban breakfast club  monthly forum hosted  rise  urban residents  community nonprofit leaders  connect  network     well  san diego's civic business  government leaders  features speakers  dialougues focused  urban issues  looking  current issues   urban perspective"
"471583475 2016"," elevate  advance urban leadership  dialogue-based civic engagement dynamic nonprofit partnerships  direct training  support  increase  capacity  urban residents  effect meaningful community"
"471592223 2017"," protect  promote human rights  monitoring research documentation education  advocay  behalf  indigenous chin people   oprressed  marginalized communities  myanmar"
"471595487 2017","providing  link  active duty special operations forces service members   outdoors"
"471600495 2015"," organization  formed exclusively   charitable purpose  aiding members  law enforcement   suffering  financial hardship due  illness injury   unfortunate circumstances  corporation will provide financial assistance  deserving candidates  need throughout  hudson valley   distribution  funds  services  needed"
"471601509 2015"," promote sponsor  carry  dinners auctions raffles   events aimed  enhancing  enriching  lives   students  live  bingham county  blackfoot idaho  participate   supporting  competing     people program"
"471603767 2017","promote  teach chinese culture  language education training  study"
"471605254 2017"," address educate coordinate"
"471608069 2016","provide free  low cost legal services  military veterans  active duty military   educate  public  military issues"
"471608923 2015"," improve access  solar power  renters  low-income households effectively shut    solar market  expand access  affordable solar power encourage  support  development  shared benefit solar panel array systems enlist organizations  points  access  solar power  renters  low-income households"
"471612420 2016","funding colaborations  visual artists"
"471618715 2015"," mission   organization   advance  education welfare   irish american community   maintain  promote irish cultural traditions"
"471630675 2017"," promote  provide assistance"
"471630675 2016"," promote  provide assistance   brooks high school"
"471634475 2016","recreational park"
"471637209 2014"," operate   thrfit store    net proceeds will  used  support various charaties"
"471638297 2016"," preserve memorabilia   omak stampede"
"471642402 2016","raise funds  law enforcement   emergency responders   injured  killed annd  families"
"471649733 2016","see schedule o"
"471650473 2016","providing scholarships  related financial support  give families  freedom  choose  best learning options   children tuition  financial assistance  high school  college students"
"471655529 2016","shoreline sports foundation seeks  utilize sports   vehicle  help local youth develop  mature young adults  will find joy  seeking  good   communities"
"471657631 2017","baseball league"
"471657643 2017","sponsor various levels  youth"
"471662102 2017","  just  rising  fund    start impementa tion"
"471663997 2015","prevention  careless drunk driving"
"471676099 2015"," provide relief rehabilitation  development  shelter training opportunity relationship mentoring support"
"471676099 2016"," mission   provide relief rehabilitation  development  shelter training opportunity relationship mentoring  support"
"471681176 2016","career coaching program designed"
"471681488 2017"," organization's primary mission   rescue stray animals  abandoned senior  handicapped animals  animals  often considered less desireable adoption choices  thus  frequent victims  ethanasia  order  relieve pet shelter overcrowding  goal   claim  animals prior   scheduled demise   care   indefinetely ultimately placing  animal   loving home contributions will  used  cover  cost  food  rescued animals  pay rent  shelter space purchase needed supplies   humane care  animals   pay veterinarians  pet caregivers   medical care  grooming  animals   protection additionally contributed dollars will fund programs  educate  public   benefits  adopting senior  handicapped animals promote  mission  advertise  find loving homes  animals"
"471698672 2015"," new leaf collaborative seeks  connect community resources  expertise  students   learning  linked  real-life exploration community-based projects  career-focused pathways  order  cultivate healthy communities  individuals intellectually curious"
"471702764 2015","foster athletic competition  providing  opportunity  athletes  train  race"
"471718484 2017","whorship god believe  teach jesus  son  god  savior  believe bible   word  god"
"471718484 2015","worship god believe  teach jesus  son  god  savior  believe bible   word  god"
"471725236 2016"," waggaman community foundation's purpose   seek  receive  make recommendations  projects  will enhance  quality  life  waggaman citizens jefferson parish   environment  mission includes bringing  completion  projects  address  aesthetics security  needs   waggaman community"
"471728669 2016"," mission   implant   youth   community ideals  good sportsmanship honesty loyalty courage  reverence    may  finer stronger  happier youth  will grow   good clean healthy adults"
"471729778 2014"," stimulate public interest  ballet   arts  public exposition  ballet   artistic performances including liturgical dance"
"471733173 2015"," provide opportunities support  services  women  children escaping exploitation  bangladesh including   limited  counselling education nutrition job training  employment support"
"471735063 2014","fundraising  providing resources  public schools  students  harlem"
"471747718 2016","prepare deistribute nutritious meals  daycare providers participating   state sponsored food program"
"471749414 2017"," eradicate human trafficking  restore  impacted  awareness prayer partnerships intervention  victim services"
"471750258 2015","bless chicago ministries will"
"471758617 2017","providing scholarship funding  qualifying students  provide grants  educational institutions  energy efficency upgrades.energy scholars supports research  development  renewable energy"
"471758617 2014","providing scholarship funding  qualifying students  provide grants  educational institutions  energy efficency upgrades"
"471759254 2014","promote animal welfare  general.rescue neglected   unwanted animals especially   special needs  physical  mental disabilities promote  responsible spaying  neutering  pets"
"471760041 2015"," bring  community  temecula valley  country style fair   promote  assist  non-profits   event"
"471761389 2014"," foster national  international amatuer sports competition educational"
"471761389 2015"," foster national  international amatuer sports competition cultural  recreational development  related activities  support  expand tourism  economic development  northern colorado"
"471762228 2016","b kind    encouraging acts  kindness   everyday lives  providing  forum  sharing individual experiences via social media  word-of-mouth  goal   inspire people everywhere  change  lives   around   simply making  effort   kind  believe  even  smallest acts  kindness  worth recognizing worth celebratin"
"471762251 2015"," encourage greater charitable donations  developing  platform providing research enabling frictionless giving  reducing charities overhead associated  accepting donations"
"471765878 2016"," work collaboratively  educate new mainers  preventative health measures  promoting healthy habits protecting  disease  linking   available  appropriate resources  order  change  way new mainers think  disease"
"471769623 2015","assist   search  draft horses  find    area  find homes  draft horses  need  rescue  available  sale  goal   create  friendly community  draft lovers working together  help   find great permanent homes   exceptional horses.we rescue draft horses either  feed lots kill buyers various rescue networks    type  work  simply trying  help existing draft owners find good homes   horses"
"471776514 2015"," support children  diabetes  south carolina   development  diabetes camping opportunities school support programs  partnerships   agencies   goal  engage encourage empower  inspire diabetic children  reach  full potential"
"471776514 2016","support children  diabetes  south carolina  diabetes camping opportunites school support programs  partnerships   agencies   goal  engage encourage empower  inspire diabetic children  reach  full potential"
"471780291 2015","family support  spinal injuries"
"471784105 2015","barks  hope  dedicated  rescuing rehabilitation  finding forever homes  abandoned animals   island  puerto rico  believe  compassion community resposibility  humane care   animals"
"471784105 2016","barks  hope  dedicated  rescuing rehabilitating  finding forever homes  abandoned animals   island  puerto rico  believe  compassion community responsibility  humane care   animals"
"471789429 2016","k-9 foundation trains  houses search  rescue canines   provides  emergency responders"
"471789647 2017"," help  homeless   otherwise unable  self-sustain"
"471791195 2017","home empower's dba nonprofit home inspections mission   broaden access   improve  quality  information readily available  homeowners  training home inspectors  deliver  higher level  variety  inspection services making sure quality home inspection services  available  every home owner regardless   ability  pay  disseminating free information  believe everyone  entitled   healthy safe environmentally sound  energy efficient place  live"
"471793023 2014","medical  humanitarian aid  residents servicemen  women first aid workers medical facilities treating casualties  victims   crisis  ukraine"
"471798546 2015"," provide support  animal enrichment programs   animal shelters   brevard county sheriffs office"
"471800541 2014","rescue  shelter chihuahuas"
"471810728 2017","provides residences  adults living  mental  physical disabilities"
"471812040 2016","nonprofit hub   collaborative workspace  downtown lincoln  facility offers  ready-to-work environment  addresses varying productivity needs   nonprofit community   socially minded businesses provides networking magazine blog webinar classes"
"471812040 2014"," primary purpose   nonprofit hub   provide  facility location   nonprofits    able  rent  location   long-term basis  also provides   peers   nonprofit sector   shared location    may share ideas"
"471815584 2016"," provide informational  educational services  primary  secondary school children  promote  positive attitude towards law enforcement officers  addition fundraisers provide public awareness  well  informational  educational services  law enforcement officers  citizens"
"471819061 2015"," engage  mobilize doctors  provide  united front   change can occur  motivated physicians  surgeons  participation   website    nationally organized cogferences"
"471826429 2015"," promote interfaith learning academics"
"471828020 2016"," provide funding  support northport high school academy offinance"
"471828020 2014"," provide funding  support northport high school academy offinance"
"471832459 2014"," promote activities  enhance"
"471832860 2016"," reduce intake  euthanasia rates  providing low cost spay neuter services   canines  felines  branch county mi also  provide animal care  spay neuter education  local residents via public speaking engagements flyers social media  fundraising events"
"471838540 2015","kids lacrosse  world   nonprofit organization  focuses  growing  game  lacrosse  teaching kids  need  english language throughout  world.the purpose   organization   teach  spread  game worldwide  young kids  small communities"
"471844344 2016"," assist mental health clientele  housing"
"471846253 2017"," support local area youth   sport  swimming"
"471847599 2016"," establish  maintain  museum  natural history   support  promote  conservation  fish  wildlife"
"471853847 2017"," mission  true joy community programs inc   enhance promote  incoroporate community partnership throughout neighboring communities    effort  decrease hunger obesity  socio-economic deprivities among children  provide meals  children  in-chome child care facilities  will provide  well-balanced breakfast lunch  snack"
"471854856 2014"," educational collaboration  local professional performers  enthusiastic community members"
"471859327 2017","decisions choices options exists  provide prevention education  teens young adults   adults  care   regarding  decisions  come along  sexual activity  teen pregnancy  educate students  avoiding  risk  abstaining  sexual activity  marriage   healthiest choice"
"471862610 2015"," organization  dedicated  providing combat veterans assistance  times  transition  hardship  organization supports projects addressing  aspects  recovery  transition  military service   combat related injuries"
"471865311 2017"," provide assistance  individuals  need"
"471869654 2015"," corporation  organized exclusively  charitable  educational purposes   provide services  support  community needs  anchorage alaska   citizens  provide   services  alaska  elsewhere   united_states  america    countries  areas beyond  united_states  america"
"471872016 2015","organization  established  raise funds  provide educational  therapeutic programs  families  children  loved ones   syndrome"
"471881370 2016"," provide administrative fundraising staffing services  non-profit corporations"
"471886066 2015"," purpose   organization   raise  distribute funds  christian organizations   send mission teams   organizations"
"471886181 2017","organizing  place  worship  prayer"
"471904814 2016"," accelerate  transition away  industrial agriculture toward  model    regionally based  regenerative  structure  promote healthy  resilient societies"
"471906603 2017"," raise awareness  promote  safe environment  players coaches  spectators  youth sporting events"
"471907804 2016"," encourage  promote family participation   enhance  education   duke students receive  provide additional resources  students  teachers  duke elem school"
"471912893 2016"," purpose   organization   save  lives  cats  dogs   unfortunately found   high rate euthanizing animal shelters throught  united_states  animals find    type  shelters due  abuse neglect becoming homeless   surrendered   owners"
"471924613 2016"," goal   sfcdf   ensure  small businesses  entrepreneurs  southeast florida  access  capital  establish  grow  profit  non-profit enterprises create retain  expand job opportunities  community residents  add value   economy  south florida"
"471925872 2016","granting adults  cancer  financial support  create lasting memories   people  love"
"471931453 2015","educational instruction training  competition  individuals  develop  inprove  capabilities   sport  swimming"
"471931453 2016","educational instruction training  competition  individuals  develop  improve  capabilities   sport  swimming"
"471934027 2014","develop leadership skills  youth veterans  target groups  camps retreats   training methods"
"471935984 2016"," provide finncial support  students "
"471937331 2017"," provide college scholarships"
"471940941 2016"," beerwalk  created  provide  outlet  communities  come together  explore  area's neighborhoods  small businesses enhancing  well    region"
"471941262 2017"," primary mission   help living organ donors overcome financial burdens associated  organ donation   also provide assistance  whatever way donors say  need    within  expertise     neither encourage  discourage organ donation  provide information emotional support financial assistance  donation related nonmedical expenses  generally advocate  living organ donors"
"471941262 2016"," alodf also wants  stop  cycle  abandonment felt  many living organ donors   helped   government  private organizations  get      transplant center  feel forgotten   donated  help donors  support groups  living organ donor networks  also financially   must take unpaid leave  feel strongly  society's obligations  living organ donors   end   transplant  also act   full intent  helping correct  social injustice   transplant allocation system disadvantages  poor blue-collar workers  minorities  law allows living organ donor recipients  pay  donors expenses   little  take care  donors  communities   intended recipients  afford  help   donor's expenses  alodf    help"
"471941666 2015"," organization's mission   support transatlantic efforts  conduct non-partisan public policy research  related charitable  educational events"
"471941953 2017"," empower economically disadvantaged minority communities   biblically based financial education  develop financial literacy stimulate economic stability   create generational wealth"
"471946072 2016","support local dog rescue groups creating  network  foster homes  ultimately finding homes  abandoned  homeless dogs"
"471955601 2016","providing intelligence services  government organizations"
"471956518 2017","none"
"471961534 2017","releash atlanta   501c3   profit 100 volunteer run ga department  agriculture licensed charitable organization  works tirelessly  save dogs  high kill shelters throughout  state  georgia"
"471972945 2015"," encourage innovative  interdisciplinary methodological approaches   history  printmaking"
"471982274 2015","see schedule oto encourage  promote  development preservation propagation conservation  well-being  endangered species  wildlife   united republic  tanzania   means  selective trophy hunting   establishment  antipoaching measures  will act   deterrent   illegal poaching   wildlife   train educate  otherwise cultivate skilled personnel  limited  members   corporation   science  culture   development preservation propagation conservation  well-being  endangered species  wildlife  well   wildlife management  conservation  general"
"471984503 2016","rescue  rehabilitation  slaughter-bound horses"
"471988260 2015"," pto   educational association  raises money  school activities  students  helps purchase school supplies"
"471997809 2015","positiveiq  founded   theory  strengthening key character traits  fully enables individuals  develop worthwhile goals   attention discipline  passion will lead  personal growth    harmonious way  living"
"471999742 2015"," develop young soccer players skills tactics  understanding   game   emphasis  educating  players   enjoyment  competing  worth  dedication training  conditioning  teach players  hard work    reward"
"471999742 2016"," specific objectives  purposes   corporation shall   provide  competitive soccer organization  children ages 4-18"
"471999872 2016","primary goal   provide support   arkansas arts academy  support  tuition-free public school   arts based curriculum"
"472001853 2015"," support transformation  humankind  providing organizations institutions  individuals heart-centered educational experiences sharing wisdom traditions  spirtual knowledge  cultivating practices  awaken  expand consciouness"
"472009167 2015"," build  stronger community   children   future making  high quality early childhood program accessible   children  bases   success later  life"
"472015610 2016"," promote  advance  field  wildlife endocrinology"
"472019443 2017","serves  inmigrant population  providing education  english classes social reach  exonomically challenged families"
"472030781 2017"," foster civil dialogue invite trust   midst  differences"
"472034886 2015","landscape development  education research"
"472038522 2016"," connect families  individuals  disabilities   communities  support resources community activites awareness   pograms"
"472041047 2014","puppy tails rescue   non-profit dog rescue  exist solely  volunteers foster homes  donations   committed  saving dogs  high kill shelters along  east coast  well  taking  strays  shelter dogs   new jersey"
"472047642 2016","    mission  provide   vulnerable students  kenya  access  education  opportunity  pursue  dreams  special emphasis   orphans  girls"
"472052004 2017","provide funding  homecare bujumbura  care  widows  orphans"
"472062193 2016","educating  building  men women  families   better leaders spouses  productive members  society    purposes withing  scope  501_c_3"
"472072840 2015"," expand  develop charities   intially started  actress  filmmaker kamala lopez  philanthropic projects  activities will focus  women children  oppressed minority groups"
"472081033 2016"," improve  quality  life  rural communities  improved agricultural outreach technical assistance access  credit  small farmers family farm business development food distribution  rural economic development  nbfa views  opportunities   means"
"472085992 2015"," nick  time project provides support  advocacy  under-resourced elders  fixed incomes    qualify  public assistance  yet lack  sufficient means  meet    basic needs including affordable medical supplies caregiving clothing food mental health counseling transportation  prevention  social isolation  conjunction   community allies volunteers  partners  mission   provide  seniors  danger  falling   cracks  society   safety net  resources    can achieve  maintain  safe healthy quality  life"
"472093589 2017","storytellers express inc  committed  rescuing dogs  need  finding  loving forever homes  take  owner surrenders  well  pulling  shelters  work towards    kill nation  network believes   uses foster homes  prepare  dogs   successful family members   new homes"
"472097494 2016","translifeline works  end transgender suicide  improve overall mental health  transgender people  education advocacy  direct service"
"472108202 2016"," mission   rescue rehabilitate  rehome farm animals  need  speak   without  voice"
