"","programs.corp6"
"465445364 2016","ski education coaching support  ski racing events"
"465452232 2017","grant  provide funding  lipscomb university disability scholarship program  support educational  therapeutic progams  children  adults"
"465472077 2015","maintain existing commitments  provide camp facilities"
"465472077 2014","purchased camp property  began renovations maintained existing committments  provide camp facilities"
"465479917 2017","charitable financial supports"
"465489340 2014"," promote  renewable energy options   production  electricity hydrogen fuels  end-use energy"
"465493989 2017","sam25 also provides  curriculum  people   working  get ahead   cycle  poverty last year  program  offered   first time 4 participants successfully graduated   program   first class"
"465501157 2017","northern new mexicans protecting land water  rights  worked  help  community   aamodt water settlement jemez electric co-op rate hikes  well  pursuing government officials regarding trespass title insurance  property tax issues"
"465501157 2015","northern new mexicans protecting land water  rights  worked  stop  approval   aamodt water case   working  rescinding  recent jemez electric rate hike  organization  also pursuing  bureau  indian affairs claim  county road 84   trespassed  non-pueblo residents"
"465510049 2017","operated  summer program  consisted  educational activities  trips   risk girls"
"465510049 2015","operated  summer program  consisted  educational activities  trips   risk girls"
"465510049 2016","operation    school program  provided educational services activies  mentoring  25  risk girls"
"465519311 2016","preservation  digitization preservation conservation  digitization   collection  30,000 pieces  graphic design  lettering history"
"465542678 2017","purpose  mission   provide benevolent services   gulf coast population  promote healthy lifestyles empower families  enrich communities"
"465580136 2016","provided resources  tools  individuals  help  make better healthy eating choices  included integration  farmers"
"465628341 2016","aspire club    school program designated  reach  youth  public schools   waiting   mentor every thursday   hour  engage   children  fun activities read  various resources build relationships  well  provide  free snack    time  kids  shared    hardships   currently facing   volunteers   excellent job encouraging  loving   children     125 students involved  aspire club   last 4 years many     provided  mentor  walk alongside   life  life  partner   fellows ministry  briarwood presbyterian church  provides 12 recent college graduates  come  invest   lives   young people  also  many  church volunteers come  provide care  compassion   youth    time  people can explore  aspire   good fit  "
"465628341 2017","inspirational experiences  common among suburban youth  many   students   inner city   death  ambition   see  world    narrow perspective therefore  provide outlets    dream  aspire  new heights  events include going   civil rights institute barons baseball games bike riding  oak mountain state park ice cream socials cookouts volunteer projects  many  exciting things  also provide  opportunity  15-20 students  go  kids across america  branson missouri    week long summer camp devoted  equipping next generation urban leaders  camp  christ centered  offers  wide array  fun activities  well  spiritual mentoring  counselors   prepared  trained  work  urban youth     kids    first time leaving  city much less  state  majority  come back   enlarged world view"
"465629799 2015"," provide financial aid  hotel restaurant vouchers  emergency situations  families  florence school district one"
"465633984 2014"," provide  rescue shelter  animals    abandoned abused neglected   unwanted   provide  neutering  adoptions  animals    placed   rescue shelter"
"465637704 2017","provided food  children  local schools  take home   weekend   school breaks"
"465638865 2017","therapeutic riding provides equine-assisted activities  people  disabilities within  community  2017 41 riders  disabilities benefited   program   help  26 volunteers summer camps provide instruction  equine care barn management  various  horsemanship skills  2017 47 riders benefited   camps"
"465649514 2015","behavioral health clinic commited  providing medical clinical management  children adolescents adults  famalies"
"465654255 2016"," foster coordinate  catalyze initiatives  improve  business climate  quality  life  east new orleans  business development infrastructure improvement  image enhacement  order  grow good jobs investments  tax revenue   city  new orleans"
"465673059 2015","scholarships awards  local students"
"465673059 2016","youth exchange programs provide us students  foreign students visiting  us  opportunity  learn  different culture  develop  expanded view   world   diverse citizens"
"465673059 2014","matching funds paid  rotary international  ultimately used   matching grant  provide  wastewater system   village  honduras"
"465681949 2017","provided educational services  specific attention   russian language enrollment increased  56 students  2014  120  2015 2nd location  san diego   opened    mission  purpose"
"465681949 2015","provided educational services  specific attention   russian language enrollment increased  56 students  2014  120  2015 2nd location  san diego   opened    mission  purpose"
"465687279 2017","charitable assistance  ministry"
"465689396 2017","promote community spirit  relationships  veterans  providing innovative  educative techniques  farming   benefits  residents  henderson  surrounding counties"
"465696734 2017","short term mission trips helped several us churches arrange  21 short term volunteer mission trips  central america   200 volunteers involved  various humanitarian  teaching activities"
"465709080 2017"," religious television programming designed   purpose  educating   catholic church"
"465736231 2015","cheerleading"
"465748280 2017","providing tangible support  families  need  supplying   clothing food health  beauty aids building supplies  furniture  2017  supported  140 families    displaced due  fire job loss   number   causes   able  support construction projects   handling  materials along  organizing volunteers"
"470972336 2015","organized events  bring awareness  worthwhile charities"
"470989142 2015","educational campaigns  increase awareness  collaboration   focus  inspiring  empowering  men  live longer healthier  happier lives"
"470989142 2017"," part   organization's mission  connect men  risk  comprehensive healthcare  wellness  organization administers  sale  pharmaceuticals  afforable prices  patients  local clinics"
"470989142 2016","educational campaigns  increase awareness  collaboration   focus  inspiring  enpowering  men  live longer healthier  happier lives"
"470995163 2017"," activity"
"470996261 2016","community food services"
"470996261 2017","community food services funeral assistance grocery help   financial help"
"470999974 2017"," help needy sick disabled members   israeli-jewish community   financial crisis"
"471038347 2017","provided affordable housing  low  moderate income families"
"471038412 2015"," families learning  play flip program provides  variety  community-based early learning groups  families  children aged 0-5 topics focus  familites playing exploring  creating together every group component focuses  parents  children learning  come together making progress  building  foundation  success   home   school flip served 257 children"
"471038949 2015","expanded mentor program  served  20 participants assessed participants  provided support  resources invested  education materials"
"471038949 2016","expanded mentor program  served  40 participants assessed participants  provided support  resources"
"471040362 2015"," provide funds  scholarships camperships  grants  lupis patients   children"
"471052067 2016","strengthening children   families  partnering  foster parents"
"471052067 2017"," 2017  organization reached  children  parents  increasing  capacity    increase organization recieved  income  will  used  created mentorships counseling programs  workshops"
"471067268 2016"," educate students  meet  statement  objectives  regard  intellectual spiritual physical  social attributes"
"471067342 2015","veterinary treatment  abandoned surrendered  shleter animals  order  make  candidates  adoption  animals  otherwise likely  euthanized   100 animals  treated  2015"
"471067342 2017","veterinary treatment  abandoned surrendered  shelter animals  order  make  candidates  adoption  animals  otherwise likely  euthanized   100 animals  treated  2017"
"471075307 2017","symposium educational conference"
"471079587 2016","none"
"471087192 2015","outreach program    program service"
"471087192 2016","outreach services  recovery support    two program services"
"471097704 2015","distribution   local family   battling cancer  displayed  financial need  activities  daily living  majority   grant distribution  monies raised  2015  distributed  early 2016"
"471101236 2016","awards  grants  individual artists"
"471101372 2017","conducted  luncheon featuring  noted author"
"471119980 2015"," provide opportunities  children  youth  participate  recreational cultural social  civic activities  membership  clubs   youth groups   special focus whose purpose   help youngsters develop  potential  grow  healthy educated responsible  productive adults"
"471133312 2015"," raise funds  awareness  brain aneurysms educating  broad public   risks symptoms  treatment  brain aneurysms inspiring thousands  individuals annually  donate  fundraise  increase awareness  funds  brain aneurysm preventative research outreach  conducted  digital platforms   video social media  website  email campaigns  well  awareness  fundraising events  network  survivors  families impacted  nurtured  "
"471133312 2016"," raise funds  awareness  brain aneurysms educating  broad public   risks symptoms  treatment  brain aneurysms inspiring thousands  individuals annually  donate  fundraise  increase awareness  funds  brain aneurysm preventative research outreach  conducted  digital platforms   video social media  website  email campaigns  well  awareness  fundraising events  network  survivors  families impacted  nurtured   share  story campaign  foster support  strength among  millions impacted  year"
"471144036 2016"," provide low cost therapy  edcuation  victims  perpetrators  child abuse domestic violence sexual abuse    abusive situation  organization also provides edcuation   community  regards  abuse   exploitation    forms"
"471147165 2016","provide intensive in-home educational parenting services  high risk families"
"471164218 2017"," organizational  successfully begun  raise funds  promote leadership skills   also bef ginning  distribute    funds golf tournament  remember brian case"
"471164218 2016"," organizational  successfully begun  raise funds  promote leadership skills   also bef ginning  distribute    funds"
"471169798 2015","accomplished grant  7,000  exceptional care  children  de 501_c_3 organization  first   skilled pediatric nursing facility   state  delaware amounts   used  assist   facility serving technology-dependent children   families"
"471169798 2017","supplies  glasgow park event  beads  courage program"
"471169798 2016","accomplished grant  1,000  exceptional care  children  de 501_c_3 organization  first   skilled pediatric nursing facility   state  delaware amounts   used  assist   facility serving technology-dependent children   families"
"471170250 2016","uplyft  made  significant donation   orphanage  nigeria"
"471170250 2017","donation  medical equipments   lady  lourdes hospital complex"
"471178640 2016","middlebury community music center provides high quality musical instruction    private lesson program   group class program  programming carried   20 faculty members  reached students ranging  age  3 months  74 years  age   engaged   community inviting   free monthly concerts featuring students  faculty   provided 4 outreach concerts  assisted living facilities"
"471185266 2016","genesis sports provides youth amateur sports training  leagues   specific focus   sport  basketball"
"471185266 2017","genesis sports provides youth amateur sports training  leagues   specific focus   sport  basketball"
"471185878 2017","classes  space  tinkerers builders creators inventors  crafters wanting  create learn  share"
"471196131 2015","provide support  youth baseball   las vegas area  nevada including providing opportunities   participating youth  experience sportmanship discipline service physical fitness  joint efforts   support  sustaining  baseball"
"471196286 2015","first year  organization established non-profit organization  start working toward achieving  organization's mission stated "
"471204202 2017","sponsor fundraising events  support  organization's mission  promote water safety awareness  enroll children  swimming lessons"
"471210683 2017","provide  experience  riding lessons  disadvantaged youth"
"471222317 2017","weekly educational sermons weekly classes occasional seminars  occasional workshops"
"471223195 2016","stag vets inc created  nations first acute veterans crisis agriculture center named comfort farms named  honor  army ranger captain kyle  comfort kia may 8 2010  premier location currently prepares veterans  students  careers  sustainable food production  integrates economic profitability environmental stewardship  healing   use  agri-therapy  time-tested natural approaches  facility will also serve veterans  acute situations  time  help    essence featuring  short-term stay lodge  can provide rooms    two veterans  one family comfort farms  building  resources  offer shelter  therapy  allows veterans  regain strength  re-boot  everyday life   fulfilling future   rapid deployment system comfort farms provided crisis services   100 veterans   training campus comfort farms also educated  assisted well  500 veterans"
"471234110 2015","helping homeless  west michigan  haiti"
"471239601 2015","donations  families  organizations  need along  ministry  worship allocations   local community"
"471239847 2017","reuniting missing animals   owners"
"471255941 2015","promotion   arts  community operation  involvement  opera performances"
"471265161 2017","promote youth sports   rochester minnesota area maintain field  use  youth   area support football  mayo high school"
"471272301 2016","52 disabled clients  served 65 clients gained employment 90 clients received transportation services 100 clients gained new skills 13,000 hours  life skills administered"
"471272301 2017","104 disabled clients  served 60 clients gained employment 20 supported employment 10 customized supported employment 75 clients received job readiness training 30  clients received real-time job coaching 75 received job sampling 25,200 hours  life skills training administered 50 clients received personal social training 100 clients gained new skills 80 clients received transportation services"
"471276876 2017","debre tsion kidist mariam  kidus gabriel started giving spiritual services  2014   significant amount  funds  build  church  administer  raised  members  faithful community members"
"471281873 2016","distributed thousands  backpacks containing daily essentials  well  information  veterans  help   transitioning  civilian life"
"471281873 2017","distributed thousands  backpacks  care packages containing daily essentials  well  information  veterans  help   transitioning  civilian life"
"471286122 2017","provide food  low income people  se portland"
"471306523 2014"," teach  game  baseball   concept  sportsmanship  youths   las vegas metropolitan area"
"471308073 2017"," 2017 lemons  love shared  2,500 chemotherapy care packages   fighting cancer lemons  love purchased  building   started renovating   create  environment   care packages can  filled  offer support groups   fighting cancer survivors care givers  grief support"
"471308073 2016","lemons  love delivered roughly 2,000 chemo care packages  cancer patients going  chemotherapy"
"471311797 2017","began receiving donations  establishing k-12 school  nigeria"
"471352422 2016","promote safe boating techniques sportsmanship water safety  boat maintenance  providing coaching training  instruction  fundamental safe sailing skills  youth families  adults  foster appreciation  local boating history  respect   natural beauty  ecological value  chautauqua lake   foster  facilitate recreational  competitive sailing   general public  chautauqua lake  chautauqua county ny"
"471352422 2015","expenses related  promote safe boating techniques sportsmanship water safety  boat maintenance  providing coaching training  instruction"
"471353027 2015","support  athletic teams  zachary high school including assistance  purchase  uniforms travel costs  equipment costs"
"471355354 2016","elwi's signature program   elder justice court support program program  free legal assistance program  seniors sited within  circuit court  cook county's elder justice center ccejc  program services cook county residents   sixty   elwi provides legal assistance  qualifying low-income seniors  conducting  detailed consultation  attorneys services may include assistance drafting simple motions assistance  completing court forms   fee waivers appearances answers composing demand letters although legal advice  restricted  low-income seniors every senior regardless  income can receive  consultation  may include legal information  appropriate legal  social service referrals  importantly elwi   expressed commitment  serving seniors  face elder abuse neglect  financial exploitation    consultations elwi attorneys provide assistance  placing  call   adult protective services hotline  conducting close follow-up thanks  part   support   elder justice courts   legal aid organizations located   pedway elwi's program  seen great success   first full year  operation  program  grown  serving 60-70 seniors   first months  serving nearly 250 per month  present elwi takes  holistic approach  serving  seniors  coordinates  services   social worker consultations   resources available within  elder justice center elwi makes frequent use  translation services available including  ccejc's translation phone  assist  seniors    fluent  english  addition elwi recently   provided audio equipment  assist  consultations  seniors   hearing difficulties since  equipment  become available    used  10  elwi consultations elwi  fortunate    granted office space computers phones  security   pedway   daley center   helped provide financial stability   program  allowed us  focus  fund raising  legal  social services   poor  elderly many private benefactors   extremely generous  elwi helping us   fully funded   first fiscal year  operation  2015 fiscal year  fully expect  funds  increase   current 2016 fiscal year due   current illinois budget crisis elwi's plans  budget  fy 2016   include  state funds    key foundations   expressed  willingness  contribute funding  certain critical donor thresholds   crossed"
"471362379 2017","rescue  rehabilitate animals  make  available  adoption"
"471374830 2017","purchase acquire erect operate maintain real estate exclusively   benefit  organizations dedicated  providing services  individuals  developmental handicaps"
"471384280 2017","providing meals  lodging   time  rest   involved  christian ministry"
"471395843 2017"," feed children  receive free-and-reduced lunches  school breaks"
"471399206 2017","scholarship fund 23 students  awarded renewed scholarships   fall  2017 school year see attached statement #4"
"471399206 2016","holiday gift giving-christmas gifts given  children   maryville homes see attached statement #5"
"471404469 2014","united_states clothing collection  community events-the"
"471417788 2015","events  activities  foster promote  advance  understanding  development   sport  lacrosse   community   promote goodwill sportsmanship  good welfare among  members"
"471421039 2017","information resources  support services  survivors  caregivers  persons    traumatic brain injury"
"471435826 2016","hosting softball tournaments   benefit   residents  cisco texas"
"471435826 2017","hosting skeet shoot fundraising event   benefit   residents  cisco texas"
"471435826 2015","building recreational park  playground   benefit   residents  cisco texas"
"471440797 2016","public broadcast service underwriting   mack  moxy pbs program  develop education content   bring awareness   oglala sioux tribe   pine ridge reservation"
"471450282 2017",""
"471450282 2016","  established different churches  christian schools locally  internationally"
"471450282 2015","  established different churches  christian schools locally  internationally"
"471465185 2016","provide on-the-job  classroom training  veterans giving  job skills  connections  get high-tech jobs"
"471468601 2015","taste film screening   first film   series attendees  invited  take  global food adventure   special screening  taste  kevin longa  alamo drafthouse south lamar  food travel documentary series  short films features  stories  international food entrepreneurs filmed across 12 asian  1 european locations taste  currently filming  editing  america attendees 60"
"471468601 2016"," miracle  feeding cities   educational program originally   form   printed magazine   prepared  sold   public  program  now gone   electronic format  still maintains  mission  bringing information  urban food systems   public  encourages innovation  improve  current food supply chain worldwide"
"471476786 2017","organization provides ambulance services  emergency medical assistance   surrounding area"
"471489275 2017","operating shade  tanzania including running  guest house   missionaries live supporting two full time missionaries"
"471498683 2015","bardola produced  curated  first ever group exhibition  20 los angeles artists  premiered    esteemed international art happening la biennale di venezia 2015  exhibition showcased art  20 los angeles artists  may  november 2015   city  venezia italy bardola collaborated  one    respected art education institutions   world  accademia di belle arti venezia  engaged  accademia's students  mounting  exhibition thus contributing greatly  international exchange  art education.in october 2015 bardola produced  curated  one-woman exhibition   ontario international airport  ontario ca  exhibition presented  work  los angeles based artist brandy eve allen   public spaces   ontario airport"
"471499849 2015","cultural corner will offer  variety  services   artistic community  north central missouri many forms  art classes will  offered   public multiple exhibit spaces will  available   building providing local artists   opportunity  display  works   viewing public   planning  artist-in-residency program  will bring professional artists  outside  area  teach classes  well"
"471499849 2016","cultural corner will offer  variety  services   artistic community  north central missouri many forms  art classes will  offered   public multiple exhibit spaces will  available   building providing local artists   opportunity  display  works   viewing public   planning  artist-in-residency program  will bring professional artists  outside  area  teach classes  well"
"471501942 2014","raise awareness  support  domestic  overseas ministry"
"471502467 2015","annual educational program provided  individuals  families stricken  breast cancer"
"471508583 2017","emergency relief pious projects  america  committed  assisting  suffering  natural  man-made disasters  providing food water  medical supplies  affected areas  emergency relief programs seek  address  immediate needs   overcome  catastrophic circumstances including aid  refugees water  food packages   stricken  drought famine disaster   timely assistance"
"471508583 2015","emergency relief pious projects  america  committed  assisting  suffering  natural  man-made disasters  providing food water  medical supplies  affected areas  emergency relief programs seek  address  immediate needs   overcome  catastrophic circumstances includings aid  refugees water  food packages   stricken  drought  famine   timely assistance"
"471518052 2015","   spot gives  sells  needy individuals needs arise  various reasons  example fire tornado job loss poor etc"
"471518284 2016"," promote interest  model railroading   hobby along  missisippi gulf coast"
"471519094 2017","spayed  nuetured many community cat  dogs"
"471525927 2014","  succesfully enhanced  community  baseball teams"
"471533074 2016"," mentor  train parents  arkansas  help  advocate   rights   disabled children"
"471533329 2016",""
"471544356 2016","provide financial assistance  current  former dhs students faculty  staff"
"471544386 2016","registration  travel track  seasons"
"471546411 2015","rebound inc strives  reduce   representation  african american males   juvenile justice system rebound inc's inaugural program jordan house   culturally specific therapeutic residential group home  shelter program  boys ages 14-21   involved   juvenile justice system  child protective services  keeping   organization's mission 100  residents   african  african american descent since opening jordan house received 30 group home referrals  8 shelter referrals   capacity  serve  6 residents   time jordan house  admitted 17 young men   group home  shelter programs thirteen   young men  matriculated   program  2 transitioning   shelter program   group home program twenty-nine percent  successfully completed  group home program  35 continue   served"
"471546411 2016","rebound inc strives  reduce  overrepresentation  african american youth   juvenile justice system rebound inc's inaugural program jordan house   culturally specific therapeutic residential group home  shelter program  young men ages 14-21   involved   juvenile justice system  child protective services ninety-two percent   residents served   african  african american descent   fiscal year jordan house received 47 group home  shelter referrals   capacity  serve  6 residents   time jordan house  admitted 26 young men   group home  shelter programs twenty-five   young men  matriculated   program thirty-eight percent  successfully completed  program  4 continue   served"
"471551236 2017","texas youth education  shooting sports offers pistol shotgun  rifle training  education  kids  10-19 years  age   fort worth  surrounding areas   4-5 regularly scheduled competitive shoots  year  different shooting clubs   fort worth area   150 kids  served   event"
"471551373 2015","fundraisers  fund local  lions club charities"
"471551373 2014","fundraiser  fund local charities  lions club charities"
"471553809 2017"," specialize  rescuing special needs corgis  dire situations  will rescue  dog provide necessary medical care provide  behaviorial rehab necessary   whatever else  necessary  bring  dogs   adoptable state rehabilitation  often slow  expensive given  severe background  many   dogs"
"471555052 2016","race"
"471555495 2015"," foundation  provided technological education  newspapers  nc   may collaborate   now ten 10 newspapers utilizing  information  share content across  state"
"471557153 2016","sensitive-the untold story covers   dense amount  information    wide range      trait shows   done   way    clear  intelligent  touching bless   making  film    honor     part      part   generous outreach   many hsps   loved ones"
"471559298 2016","orchestral  choral performances"
"471566544 2015"," provide help  good people   great things  children  need"
"471568301 2017"," engage  support foster promote  encourage youth work  activities related thereto"
"471572898 2016","refuge coffee co emplowers local refugees  coffee related job creation job training social networking  commerce"
"471575856 2016","foster education  development  children's interest  participating   sport  cheer-leading  dance"
"471582151 2016","charitable"
"471583475 2015","nonprofit partnerships convened representatives  twenty-six nonprofit organizations serving san diegos urban communities  begin identifying  technical assistance needs   organizations collaborators  staff  b interest level  developing  leadership council  nonprofits working within urban communities"
"471583475 2016","civic engagement hosted eight rise urban breakfast club civic dialogues  venues throughout southeastern san diego identified  secured experts  local business government  nonprofit sectors  speak  panelists  topics including water security  homelessness"
"471583475 2014","leadership development negotiated three-year mou  usd   rise urban leadership fellows program developed  year-long program curriculum identified  recruited program faculty  coaches recruited  selected  diverse  richly-experienced inaugural cohort  twenty-four fellows hailing  throughout san diego county launched  2015-16 program year  usd"
"471592223 2017","non profit organization  monitors  document human rights advocacy capacity-building tranings promotion  independent media  support  grassroots community initiatives   chin state  burma   work  chin human rights organization us  envision  meaningful social change  teh full realization   enjoyment  human rights   equal dignity   human beints  respected  upheld   free just  democratic society"
"471595487 2016","shooting program instruction shooting programs  active duty members   special operation forces   familys.in year 2016 11 participants  sponsored   activities"
"471595487 2017","family events program providing outdoor recreational events  support  active duty members   special operation forces   families.in year 2017 46 participants  sponsored   activities   focused  family events  hunting  fishing"
"471600495 2014"," organization  formed exclusively   charitable purpose  aiding members  law enforcement   suffering  financial hardship due  illness injury   unfortunate circumstances  corporation will provide financial assistance  deserving candidates  need throughout  hudson valley   distribution  funds  services  needed"
"471601509 2015"," foster  generally encourage public appreciation   blackfoot   people students   support     needed  maintain  sustain travel  competitions proper education materials technology  sinsurances  promote    people program"
"471603767 2017","promote  teach chinese culture  language education training  study"
"471605254 2016","providing comprehensive developmental baseball programs   youth   surrending community"
"471608069 2016","provided 1,306 veterans  active duty service members  free legal assistance  4,000 volunteer hours  provided  vli assistance included veterans benefits discharge upgrades wills taxes land lord tenant small business  debt assistance"
"471608923 2015","solstice initiative began  work   ground  massachussets  mid-2015  worked  four solar developer partners  five community solar projects across central  southeastern ma enrolling 15 customers including one house  worship  engaged  nearly 400 households across  state  ma educating   community solar namely   works   can help  save money   electricity bills    can sign   also began building   team bringing  several full-time hires  help primarily  community outreach finally  received funding   echoing green fellowship ittleson foundation godley family foundation one foundation jmk fund  susan crown exchange  participated   cleantech open northeast  mit delta v accelerator programs"
"471612420 2016","sacred water project commissioned art  printing  support   indigenous organization owe aku commissioned  dozen artists  support   mass incarceration awareness project including art printing  distribution  support   bipartisan cut50 org first phase  art collection  women's march garnered   5000 submissions  december  2016 bringing hundreds  new activist artists  national attention"
"471618715 2015"," advance  education welfare   irish american community   maintain  promote irish cultural traditions"
"471630675 2017","support   athletic activities included   limited  football basketball baseball track volleyball golf softball tennis fishing etc"
"471630675 2016","support   athletic activities included   limited  football basketball baseball track volleyball gold softball tennis fishing etc"
"471634475 2017","sporting activities  youth"
"471637209 2015"," operate   thrfit store    net proceeds will  used  support various charaties"
"471638297 2016"," preserve memorabilia   omak stampede"
"471642402 2014","raise funds  law enforcement   emergency responders inlured  killed   families"
"471649733 2017"," service program  respect  fasting kits  educational materials  expanded  reach  many religious groups  seminaries   greater boston area"
"471649733 2014"," service program  respect  fasting kits  educational materials reached  100 priests   local community"
"471650473 2015"," provide families  students tuition  educational assistance  high school  college"
"471655529 2017","shoreline sports foundation   local nonprofit organization focused  building community  athletics since september  2014  grown  serve   800 area kids    50 local schools  activities bring   together  one community serving  shoreline area  beyond   committed  empowering youth  building  healthy culture  diverse community  accomplish   offering leadership training  youth great sporting opportunities  fun community-building events  powerful combination impacts   character   youth   well    region"
"471657631 2017","baseball league"
"471657643 2017","sponsor youth baseball activities"
"471662102 2017","fundraising expense 8965.00 bank service charge 24.00 telephone expense 99.50 legal fees 30.00"
"471663997 2015","prevention  careless drunk driving"
"471676099 2015","purchased  building  house homeless women  children"
"471676099 2016","shelter   storm ministries sftsm   faith-based organization represented  supported  multiple churches businesses big  small  many people  contribute  volunteer   community  mission  transformation  shelter support  hope  homeless families  sun prairie wisconsin sftsm  currently remodeling  two-story building  will include 11 family suites  sleep   6 people  unit will   private bathroom  fully furnished kitchenette  large community  family gathering room will bring  clients together  build relationships  inside playroom  outside playground will offer  variety  recreational activities  remodel  supported  commitments    25 contractors  working  accomplish various aspects   project  addition approximately 75 community partners  made monetary donations  1,000  75,000    will  recognized   donor wall upon completion   shelter"
"471681176 2016","career coaching program designed  educators therapists  industry leaders  empower high school  college students  find  career  best suits "
"471681488 2017","cover  cost  animal rescues food housing supplies  verterinarian care"
"471698672 2016"," offer  in-school  out-of-school programs  order  increase access  hands-on science exploration  suburban students   communities.in-schoolstandards aligned hands-on lessons  enrichment  teachers   studentsopt-in tinkering sessions  students  clubsout-of-schoolguided project based learning tinkering  making sessions  students existing programs  clubscommunity building events materials  guidance  hands-on science projects  coworkers friends   familiesscience nights activity  interactive showcase booth   ages  community events"
"471702764 2017","foster athletic competition  providing  opportunity  athletes  train  compete"
"471718484 2015","dubbing fees 108,503 translation fees 83,798 software fees 20,654"
"471718484 2017","provision  religious  educational activities"
"471725236 2016","miscellaneous community projects including  community easter egg hunt community well  landscaping several neighborhood entrances  hosting senior olympic games    activities promote  sense  well   pride   community"
"471728669 2017","youth baseball league created  teach  children   community  dedication perseverance   fun  active keeps children healthier  also keeps   getting   much trouble"
"471728669 2015","youth baseball league"
"471729778 2014","nutcracker ballet performance"
"471733173 2016","24 participants  training program preparing women  risk  survivors  trafficking  dignified work 70-100 children  daycare  nutritious food  education boarding school  3 children whose mothers cant provide safe care phychiatry counselling  support  staff trainees  community"
"471733173 2015","16 participants  new training program preparing women  risk  survivors  trafficking  dignified work 78 children  daycare  nutritious food 400 hours  counselling services medical needs including heart surgery 100 blankets  hats given   homeless 365 days  boarding school   mom learns  deal   mental illness"
"471735063 2014","resources  public schools"
"471747718 2016","little blessings ii prepared  distributed meals  daycare"
"471749414 2017"," provide awarenss     community  also provide  dept trainings"
"471750258 2015","assemblies  god india fellowship  north america conference spiritual revival   youth   community project impacted  1,000 youth"
"471758617 2014",""
"471758617 2016","providing scholarship funding  qualified students  provide grants  educational institutions  energy efficiency upgrades"
"471759254 2015","25 special need dogs  rescued  2015   provided shelter medical  emotional care"
"471759254 2016","25 special need dogs  rescued  2016   provided shelter medical  emotional care"
"471759254 2014","47 special need dogs  rescued  2014   provided shelter medical  emotional care"
"471760041 2015","provided  country style fair  temecula valley"
"471761389 2014"," foster national  international amatuer sports competition educational"
"471761389 2015"," foster national  international amatuer sports competition cultural  recreational development  related activities  support  expand tourism  economic development  northern colorado"
"471762228 2015","publicity  media support   educational organizations"
"471762251 2015","developed  maintained  online platform  frictionless  simple charitable contributions   nonprofit organization   u.s available anytime enabled easy  free online access  charitable organizations financial information demographic details  additional research"
"471765878 2016","behavioral health programprovides counselors  teach life skills  community members works  children  development   disabilities support  medications hosts activities assisted approximately 33 community members   10  22 hours per week "
"471769623 2016","rescue  rehabilitate draft horses  find  forever homes"
"471776514 2015","served 81 children  type 1 diabetes  46 volunteers  one  two summer camping opportuniites  south carolina attendence allowed  children  enjoy  summer camp   medically safe environment  building  knowledge  comfort  diabetes management approximately 65  campers received scholarships  attend  school support program  expanded  1 providing diabetes education   south carolina school nurse consortium 2 providing diabetes emergency supply kits desk  schools  two south carolina counties lancaster  chester  assit  diabetes care   students regular home supplies  unavailable  3   partnership  mid-carolina ahec  south carolina public schools  developed two web based diabetes-specific educational sessions  provide free educational credits  south carolina school nurses"
"471776514 2016","served 145 children  type 1 diabetes  60 volunteers  1  2 summer camping opportunites  south carolina attendence allowed  children  enjoy  summer camp   medically safe environment  building  knowledge  comfort  diabetes management approximately 70  campers received scholarships  attend  school support program continued  1 provide 3 georgia counties richmond columbia mcduffie 1 south carolina county greenville  resupplied 2 south carlina counties lancaster chester  diabetes emergency supply kits desk  assist  diabetes care   students regular home supplies  unavailable  2   partnership  mid-carolina ahec  south carolina public schools  maintained 2 web based diabetes specific educational sessions  provided 2 live educational broadcasts  richmond county georgia  statewide  south carolina  provided free educational credits  school nurses"
"471780291 2016","family support  members  spinal injuries"
"471784105 2017","organization  dedicated  rescuing rehabilitating  finding homes  abandoned dogs"
"471789429 2016","k-9 foundation trains  houses search  rescue canines   provides  emergency responders"
"471789647 2016","completed two 5k fundraising run  charity bike ride proceeds   given  charities  2017 donated 2500   saint francis inn ministries  2500   covenant house  pennsylvania"
"471789647 2017","completed  5k fundraising run  charity bike ride proceeds   given  charities  2018 donated 1500   saint francis inn ministries  1500   saint francis center"
"471789647 2014","completed 5k fundraising run  12 27 14 proceeds  given  charitiesin 2015  addition  food drive  organized  october   local church"
"471789647 2015","completed 5k fundraising run  12 27 15 proceeds   given  charities  2016 donated 2500   saint francis inn ministries"
"471791195 2017","inspector training  established  educational training program  state licensed trade school designed  empower others  help identify significant hazards  housing project included job training   apprentice program state licensed home inspector school taught 41 students  intensive instruction  field training apprentices conducted 747 home inspections  part   training  supervision   senior inspector  order  become certified master inspectors"
"471793023 2015","humanitarian mission-medications first aid medical supplies  clothings  wounded soldiers  residents  ukraine devastated  political conflict  war  russia"
"471798546 2015","providing care  medical treatment  animals including food spay neuter medications wellness vaccinations  facilities  well  behavior stress management  obedience training"
"471800541 2014","rescue  chihuahuas   high kill shelters  los angeles"
"471810728 2016","provided residnecy  adults living  mental  physical disabilities"
"471812040 2015"," provice  physical location  nonprofits       location  provides nonprofits   shared location  share ideas  help   succeed    online resource   nonprofits"
"471815584 2016","informational  educational services  primary  secondary school children  promote  positive attitude towards law enforcement officers"
"471819061 2015","organize medical doctors  surgeons  conferences   united"
